Lag_Order,AIC,BIC,Test_R2
1,7834.234641677035,7848.869621081909,0.9934695978814987
2,7828.0886748029125,7847.597859088903,0.9934476745520264
3,7809.886458882379,7834.267781941833,0.9934684056452384
4,7804.154284052245,7833.405676575905,0.9934310371133422
5,7793.419579639216,7827.538969107389,0.993396150195644
6,7784.451734173156,7823.437044846856,0.9933407615300437
7,7778.464335538596,7822.313488450647,0.9933192921091983
8,7769.594001973335,7818.30491491944,0.9933242421835273
9,7759.39022983854,7812.960817368319,0.9933358377692012
10,7750.10363039166,7808.5318037996485,0.9933010134108521
11,7744.481586139681,7807.765253456295,0.9933034954973505
12,7738.906081452289,7807.043147434755,0.9932835582833086
13,7725.959529420736,7798.947895543987,0.9932298475516914
14,7720.83202053189,7798.669584979423,0.9932408042753628
15,7715.800015300733,7798.484672955434,0.9932133045165799
